关键词ID	关键词（原规范词）	搜索量（US原值）	原清洗状态	建议URL	URL ID	优先级	URL处理状态	与URL主词关系	原任务组ID	原页面代表词	原归并关系	原分类	URL分类	搜索意图分组	同页分区	KD	CPC_USD	原工具Intent	原搜索量状态	原来源类型	原来源记录ID	原来源位置	原始拼写	原翻译/纠错记录	原清洗依据	本次URL判断依据	本版交付状态	本版页面模板	本版必须交付
K1193	piano chord chart pdf	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位		6	0.66	I	Semrush US原词估算	Semrush US 单词数据; Google Related; Google Autocomplete	S0505; S2302; S2322	piano_keyword_research_combined.xlsx｜关键词数据!A510:G510; Google 第2批 图10; Google 第2批 图11	piano chord chart pdf		可由同一任务页的说明/FAQ覆盖；不是同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1194	piano chord progression	260	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		17	1.55	I	Semrush US原词估算	Semrush US 单词数据	S0506	piano_keyword_research_combined.xlsx｜关键词数据!A511:G511	piano chord progression		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K1195	piano chord shapes	260	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P220	how to play chords on piano	同页补充/条件/问题（非同义）	guide	guide	学习弹奏步骤		25	0	I	Semrush US原词估算	Semrush US 单词数据	S0507	piano_keyword_research_combined.xlsx｜关键词数据!A512:G512	piano chord shapes		可由同一任务页的说明/FAQ覆盖；不是同义词	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	按页面准备顺序验收	T22	步骤、构成、指法示意及连接练习；链接查图工具
K1196	piano chord sheet printable	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位		20	0.65	I	Semrush US原词估算	Semrush US 单词数据	S0508	piano_keyword_research_combined.xlsx｜关键词数据!A513:G513	piano chord sheet printable		可由同一任务页的说明/FAQ覆盖；不是同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1197	piano chord transitions	260	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P242	piano chord transitions	页面代表词	guide	guide	学习弹奏步骤	transitions	11	1.18	I	Semrush US原词估算	Semrush US 单词数据	S0509	piano_keyword_research_combined.xlsx｜关键词数据!A514:G514	piano chord transitions		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	练习钢琴和弦连接/换和弦动作；必须在该页提供实际结果，不只增加一个关键词。
K1198	piano chords b major	260	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		14	0	I	Semrush US原词估算	Semrush US 单词数据	S0510	piano_keyword_research_combined.xlsx｜关键词数据!A515:G515	piano chords b major		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1199	piano chords in the key of c	260	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P159	c major scale chords piano	同义词合并	chords	chords	查调内和弦	c-major	14	1.09	I	Semrush US原词估算	Semrush US 单词数据	S0966	piano_keyword_research_combined.xlsx｜关键词数据!A971:G971	piano chords in the key of c		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查C大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K1200	piano chords pdf	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位		10	1.15	I	Semrush US原词估算	Semrush US 单词数据	S0511	piano_keyword_research_combined.xlsx｜关键词数据!A516:G516	piano chords pdf		可由同一任务页的说明/FAQ覆盖；不是同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1212	piano minor chords	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P154	minor chords piano	同义词合并	chords	chords	查和弦键位	minor	21	0	I	Semrush US原词估算	Semrush US 单词数据	S0515	piano_keyword_research_combined.xlsx｜关键词数据!A520:G520	piano minor chords		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	minor 选择后显示经过核对的实际和弦结果。
K1225	popular chord progression	260	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	20	0	I	Semrush US原词估算	Semrush US 单词数据	S0521	piano_keyword_research_combined.xlsx｜关键词数据!A526:G526	popular chord progression		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K1226	power chords piano	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P168	power chords piano	页面代表词	chords	chords	查和弦键位	power	25	0	I	Semrush US原词估算	Semrush US 单词数据	S0522	piano_keyword_research_combined.xlsx｜关键词数据!A527:G527	power chords piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	power chord 的实际结果与使用说明，不能只有标签。
K1235	a chord inversions piano pdf		保留	/chords/a-major	U076	先做	有规划URL	同页其他任务/查询；原归并关系另存	P149	a chord piano	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1943	关键词策略构建器数据汇总.md｜L467｜piano scales > piano chords and progressions	a chord inversions piano pdf		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1237	a minor chord piano		保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1939	关键词策略构建器数据汇总.md｜L463｜piano scales > piano chords and progressions	a minor chord piano		同义表达；保留全部来源	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1240	ab chord piano		保留	/chords/a-flat-major	U079	后做	有规划URL	URL主词的原同义词	P155	a flat chord piano	同义词合并	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1748	关键词策略构建器数据汇总.md｜L75｜piano chord chart > piano chord chart	ab chord piano		同义表达；保留全部来源	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1241	ab piano chord		保留	/chords/a-flat-major	U079	后做	有规划URL	URL主词的原同义词	P155	a flat chord piano	同义词合并	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1938	关键词策略构建器数据汇总.md｜L462｜piano scales > piano chords and progressions	ab piano chord		同义表达；保留全部来源	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1266	c chord piano		保留	/chords/c-major	U081	先做	有规划URL	URL主词的原同义词	P163	c chords piano	同义词合并	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush US 单词数据	S0292	piano_keyword_research_combined.xlsx｜关键词数据!A297:G297	accord piano c	法语/英语混合表达翻译	同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1292	free piano chord chart		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Related	S2303	Google 第2批 图10	free piano chord chart		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1293	free piano chord chart printable pdf		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Related; Google Autocomplete	S2309; S2320	Google 第2批 图10; Google 第2批 图11	free piano chord chart printable pdf		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1298	g chord piano		保留	/chords/g-major	U084	后做	有规划URL	URL主关键词	P169	g chord piano	页面代表词	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1801; S1966	关键词策略构建器数据汇总.md｜L163｜piano chord chart > piano scales; 关键词策略构建器数据汇总.md｜L511｜piano scales > piano scales and fingering	g chord piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1307	how many piano chords are there		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1750; S1871	关键词策略构建器数据汇总.md｜L77｜piano chord chart > piano chord chart; 关键词策略构建器数据汇总.md｜L321｜beginner piano sheet music > easy piano sheet music with chords	how many piano chords are there		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1316	how to read a piano chord chart?		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P247	how to read a piano chord chart?	页面代表词	guide	chords	查和弦键位	how-to-read				未验证（不可用聚类量/外语量代填）	Google PAA	S2301	Google 第2批 图10	how to read a piano chord chart?		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	如何读键盘图、组成音和标记；深入学习连接指南。
K1323	how to use the chord chart		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P247	how to read a piano chord chart?	同页补充/条件/问题（非同义）	guide	chords	查和弦键位	how-to-read				未验证（不可用聚类量/外语量代填）	视频标题提取词	S2382	Google 第2批 图10	how to use the chord chart		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	如何读键盘图、组成音和标记；深入学习连接指南。
K1328	keyboard piano chords beginner		保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同义词合并	guide	guide	学习弹奏步骤	beginner				未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1753; S1876; S1944	关键词策略构建器数据汇总.md｜L80｜piano chord chart > piano chord chart; 关键词策略构建器数据汇总.md｜L326｜beginner piano sheet music > easy piano sheet music with chords; 关键词策略构建器数据汇总.md｜L468｜piano scales > piano chords and progressions	keyboard piano chords beginner		同义表达；保留全部来源	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K1332	major chords piano cheat sheet		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	同页补充/条件/问题（非同义）	chords	chords	查和弦键位	major				未验证（不可用聚类量/外语量代填）	短视频标题	S2312	Google 第2批 图10	major chords piano cheat sheet		完整短视频标题原文，可作关键词线索；不当Google查询量	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K1341	pdf piano chords chart		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Autocomplete	S2318	Google 第2批 图11	pdf piano chords chart		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1345	piano chord chart 7th		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P170	piano chord chart 7th	页面代表词	chords	chords	查和弦键位	seventh				未验证（不可用聚类量/外语量代填）	Google Related; Google Autocomplete	S2307; S2319	Google 第2批 图10; Google 第2批 图11	piano chord chart 7th		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	明确 7th 涉及的类别和输出；不把它无条件改成 major7。
K1346	piano chord chart for beginners pdf		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Related	S2308	Google 第2批 图10	piano chord chart for beginners pdf		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1347	piano chord chart jazz		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P171	piano chord chart jazz	页面代表词	chords	chords	查和弦键位	jazz				未验证（不可用聚类量/外语量代填）	Google Autocomplete	S2321	Google 第2批 图11	piano chord chart jazz		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	jazz 相关和弦的实际示例及说明，不只加一个风格按钮。
K1348	piano chord chart with finger position pdf		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Related; Google Autocomplete	S2305; S2317	Google 第2批 图10; Google 第2批 图11	piano chord chart with finger position pdf		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1349	piano chord progressions pdf		保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P173	piano chord progressions	同页补充/条件/问题（非同义）	chord_progressions	chord_progressions	查和弦走向					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1768	关键词策略构建器数据汇总.md｜L109｜piano chord chart > piano chord accompaniment	piano chord progressions pdf		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K1350	piano chords		保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush US 单词数据; Google Autocomplete	S0304; S0389; S0429; S0469; S2323	piano_keyword_research_combined.xlsx｜关键词数据!A309:G309; piano_keyword_research_combined.xlsx｜关键词数据!A394:G394; piano_keyword_research_combined.xlsx｜关键词数据!A434:G434; piano_keyword_research_combined.xlsx｜关键词数据!A474:G474; Google 第2批 图11	chords klavier; acordes piano; paino chords; piano chors; piano chords	德语/英语混合表达翻译; 西班牙语翻译; paino → piano拼写纠正; chors → chords拼写纠正	同一对象与同一交付任务；人工词义归并; 同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1351	piano chords chart		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Autocomplete	S2324	Google 第2批 图11	piano chords chart		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1352	piano chords chart for beginners		保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同页补充/条件/问题（非同义）	guide	guide	学习弹奏步骤	beginner				未验证（不可用聚类量/外语量代填）	Google Autocomplete	S2315	Google 第2批 图11	piano chords chart for beginners		同页覆盖/补充问题，不误作同义词	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K1353	piano chords chart pdf		保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1873	关键词策略构建器数据汇总.md｜L323｜beginner piano sheet music > easy piano sheet music with chords	piano chords chart pdf		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1354	piano chords for beginners pdf		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google Autocomplete	S2316	Google 第2批 图11	piano chords for beginners pdf		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1406	pretty piano chord progressions		保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P177	beautiful chord progressions piano	同义词合并	chord_progressions	chord_progressions	查和弦走向	beautiful				未验证（不可用聚类量/外语量代填）	Semrush Strategy Builder 页面建议	S1755	关键词策略构建器数据汇总.md｜L82｜piano chord chart > piano chord chart	pretty piano chord progressions		同义表达；保留全部来源	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	查询优美钢琴和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K1419	what are all the chords on piano?		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google PAA	S2300; S2328	Google 第2批 图10; Google 第2批 图11	what are all the chords on piano?		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1425	what are the 12 chords for piano?		保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位					未验证（不可用聚类量/外语量代填）	Google PAA	S2298; S2326	Google 第2批 图10; Google 第2批 图11	what are the 12 chords for piano?		同页覆盖/补充问题，不误作同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
